Month,Trades,Wins,Losses,Win Rate,Gross Profit,Gross Loss,Total PnL,Average PnL,Median PnL (middle value not affected by outliers),Standard Deviation PnL (measures how spread out results are),Max Win,Max Loss,Average R Multiple,Average Risk,Average Duration Minutes,Start Balance,End Balance,Profit Factor,Return Percent
2024-01,39,16,23,41.03,28386.35,-18152.28,10234.07,262.41,-714.62,1294.79,2248.23,-946.62,0.44,756.59,251.92,100000.00,110234.07,1.56,10.23
2024-02,47,17,30,36.17,41976.14,-30045.14,11931.00,253.85,-857.57,1721.10,3573.90,-1504.80,0.27,996.50,70.96,110234.07,122165.06,1.40,10.82
2024-03,74,16,58,21.62,55512.28,-76868.14,-21355.86,-288.59,-1114.71,2058.62,4752.16,-2138.47,-0.24,1338.83,154.32,122165.05,100809.21,0.72,-17.48
2024-04,68,23,45,33.82,27329.98,-22000.67,5329.31,78.37,-429.46,814.46,1793.17,-755.02,0.18,484.30,218.90,100809.21,106138.53,1.24,5.29
2024-05,23,10,13,43.48,22539.64,-11775.46,10764.18,468.01,-806.93,1621.51,2989.19,-1118.76,0.52,903.97,240.43,106138.54,116902.72,1.91,10.14
2024-06,29,11,18,37.93,40754.77,-28618.46,12136.31,418.49,-1365.73,2632.99,4337.67,-1893.52,0.33,1548.98,251.90,116902.72,129039.01,1.42,10.38
2024-07,24,9,15,37.50,43044.08,-29876.46,13167.62,548.65,-1717.60,3383.99,5800.74,-2442.41,0.31,1962.25,133.75,129039.01,142206.62,1.44,10.20
2024-08,8,4,4,50.00,27795.63,-11889.24,15906.39,1988.30,1846.66,5312.01,7568.11,-3138.52,0.75,2875.93,479.38,142206.61,158113.01,2.34,11.19
2024-09,5,3,2,60.00,25967.52,-7000.00,18967.52,3793.50,8514.13,6658.61,8750.00,-3500.00,1.10,3477.40,36.00,158113.01,177080.53,3.71,12.00
2024-10,29,10,19,34.48,87500.00,-66500.00,21000.00,724.14,-3500.00,5925.63,8750.00,-3500.00,0.21,3500.00,86.72,177080.53,198080.53,1.32,11.86
2024-11,32,11,21,34.38,96250.00,-73500.00,22750.00,710.94,-3500.00,5911.34,8750.00,-3500.00,0.20,3500.00,236.56,198080.53,220830.53,1.31,11.49
2024-12,11,5,6,45.45,43750.00,-21000.00,22750.00,2068.18,-3500.00,6397.35,8750.00,-3500.00,0.59,3500.00,50.91,220830.53,243580.53,2.08,10.30
2025-01,28,10,18,35.71,87500.00,-63000.00,24500.00,875.00,-3500.00,5977.39,8750.00,-3500.00,0.25,3500.00,193.75,243580.53,268080.53,1.39,10.06
2025-02,37,13,24,35.14,113750.00,-84000.00,29750.00,804.05,-3500.00,5928.72,8750.00,-3500.00,0.23,3500.00,120.95,268080.53,297830.53,1.35,11.10
2025-03,15,7,8,46.67,61250.00,-28000.00,33250.00,2216.67,-3500.00,6325.87,8750.00,-3500.00,0.63,3500.00,31.33,297830.53,331080.53,2.19,11.16
2025-04,7,5,2,71.43,43750.00,-7000.00,36750.00,5250.00,8750.00,5977.39,8750.00,-3500.00,1.50,3500.00,41.43,331080.53,367830.53,6.25,11.10
2025-05,66,22,44,33.33,192500.00,-154000.00,38500.00,583.33,-3500.00,5818.96,8750.00,-3500.00,0.17,3500.00,168.11,367830.53,406330.53,1.25,10.47
2025-06,11,7,4,63.64,61250.00,-14000.00,47250.00,4295.45,8750.00,6180.43,8750.00,-3500.00,1.23,3500.00,168.64,406330.53,453580.53,4.38,11.63
2025-07,70,24,46,34.29,210000.00,-161000.00,49000.00,700.00,-3500.00,5856.62,8750.00,-3500.00,0.20,3500.00,111.93,453580.53,502580.53,1.30,10.80
2025-08,68,20,48,29.41,175000.00,-168000.00,7000.00,102.94,-3500.00,5623.15,8750.00,-3500.00,0.03,3500.00,237.06,502580.53,509580.53,1.04,1.39
2025-09,70,24,46,34.29,210000.00,-161000.00,49000.00,700.00,-3500.00,5856.62,8750.00,-3500.00,0.20,3500.00,197.00,509580.53,558580.53,1.30,9.62
2025-10,39,16,23,41.03,140000.00,-80500.00,59500.00,1525.64,-3500.00,6104.30,8750.00,-3500.00,0.44,3500.00,153.46,558580.53,618080.53,1.74,10.65
2025-11,16,10,6,62.50,87500.00,-21000.00,66500.00,4156.25,8750.00,6125.00,8750.00,-3500.00,1.19,3500.00,51.88,618080.53,684580.53,4.17,10.76
2025-12,73,22,51,30.14,192500.00,-178500.00,14000.00,191.78,-3500.00,5659.85,8750.00,-3500.00,0.05,3500.00,158.77,684580.53,698580.53,1.08,2.05
2026-01,59,17,42,28.81,148750.00,-147000.00,1750.00,29.66,-3500.00,5595.58,8750.00,-3500.00,0.01,3500.00,173.98,698580.53,700330.53,1.01,0.25
